MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!13!]
Q-3:	|01101010 11001010 11111111 10001100|
Q-2:	|0+-1-+1- +1010111 11000001 101-++++|
Q-1:	|101+++10 -0001010 10000101 0111110-|
Q0:	|1+-0-1++ 10++000- +0-+0101 1100110-| ok p=0.416016
Q1:	|.+0+0+10 0-0-...- +00--..+ 1..-...+| ok p=0.749023
Q2:	|1+101+10 .-1-...0 1+0+11.0 -..0...+| ok p=1
Q3:	|0.-+.+.1 .-.-...- 1101+0.1 0..0.0..| ok p=1
Q4:	|111-...0 .-!....- .-.011.. 1..-.0.1| ok p=1
Q5:	|-.+1.0.- ...1...- .+..-1.0 +.!+.-.1| ok p=1
Q6:	|+.+-...1 .0.....- .+..1+.1 1..+.+.-| ok p=1
Q7:	|+.1+...+ .......0 ^0..+1.+ 0..-.0.-| ok p=1
Q8:	|1^-+.1.1 .^.!...0 .00.-1.0 +..-.0..| ok p=1
Q9:	|001-10.- .+.....0 ..0.0..1 0!.....0| ok p=1
Q10:	|.1-11+.1 .0..0.00 1.+10... 01100...| ok p=1
Q11:	|10-1+0.- ^-.01^1- 0^-0-... .01111^.| ok p=1
Q12:	|0+----^- -+^0-+-0 ++0--^.0 ^+---1-0| ok p=1
Q13:	|+0+1-++. 0---101- -101-+.0 -++-+-01| ok p=1
Q14:	|0100.001 010+1100 1110.0^- 0.1.0+0-| ok p=1
Q15:	|-11.111. +11+..+1 -.--0+.- 01101-.0| ok p=0.300781
Q16:	|..+..0-. .1.-..+. ..1..0.+ .0...0.0| ok p=0.464844
Q17:	|^.-..1.. ^1.1..1. ^.0^.-.- .1...+..| ok p=0.830078
Q18:	|..1..+^. .+.0..-. ..1....+ .-...+..| ok p=0.40918
Q19:	|..-..... ......-. 0.+..^.+ ....0-..| ok p=0.754883
Q20:	|0...0^.. .^....00 1...0..1 .^..1-..| ok p=1
Q21:	|1.^.1... .0....11 -.^.1..1 ....-0..| ok p=0.494141
Q22:	|-...-... .1.....+ ....+... .....0..| ok p=0.458008
Q23:	|........ .+.0.... ^......0 ....^...| ok p=0.995117
Q24:	|^...^.0. ...1...^ ....^..1 ...0....| ok p=0.999023
Q25:	|........ .^.-.... .......- ...1....| ok p=0.539062
Q26:	|.....0+. ........ ..0..... ...-....| ok p=1
Q27:	|.....1+. ...^.... ..1....^ ........| ok p=0.987305
Q28:	|.....+-. ........ ..+..... ...^....| ok p=0.991211
Q29:	|......0. ........ ..0..... ........| ok p=1
Q30:	|.....^1. ........ ..-..... ........| ok p=1
Q31:	|........ ........ ..-..... ........| ok p=0.984375
Q32:	|........ ........ ........ ........| ok p=1
Q33:	|........ ........ ..!..... ........| ok p=1
Q34:	|........ ........ ........ ........| ok p=1
Q35:	|........ ........ ........ ........| ok p=1
Q36:	|........ ........ ........ ........| ok p=1
Q37:	|........ ........ ........ ........| ok p=1
Q38:	|........ ........ ........ ........| ok p=1
Q39:	|........ ........ ........ ........| ok p=1
Q40:	|........ ........ ........ ........| ok p=1
Q41:	|........ ........ ........ ........| ok p=1
Q42:	|........ ........ ........ ........| ok p=1
Q43:	|........ ........ ........ ........| ok p=1
Q44:	|........ ........ ........ ........| ok p=1
Q45:	|........ ........ ........ ........| ok p=1
Q46:	|........ ........ ........ ........| ok p=1
Q47:	|........ ........ ........ ........| ok p=1
Q48:	|........ ........ ........ ........| ok p=1
Q49:	|........ ........ ........ ........| ok p=1
Q50:	|........ ........ ........ ........| ok p=1
Q51:	|........ ........ ........ ........| ok p=1
Q52:	|........ ........ ........ ........| ok p=1
Q53:	|........ ........ ........ ........| ok p=1
Q54:	|........ ........ ........ ........| ok p=1
Q55:	|........ ........ ........ ........| ok p=1
Q56:	|........ ........ ........ ........| ok p=1
Q57:	|........ ........ ........ ........| ok p=1
Q58:	|........ ........ ........ ........| ok p=1
Q59:	|........ ........ ........ ........| ok p=1
Q60:	|........ 0....... ........ ........| ok p=1
Q61:	|.......1 0....... ........ ........| ok p=1
